node_id	node_label	node_year	node_category	selected_qid	selected_label	selected_description	alternatives	confidence
john_mccarthy	John McCarthy	1927	PERSON	Q92739	John McCarthy	American computer scientist and cognitive scientist (1927-2011)	Q1700621:John McCarthy:American politician (1857-1943) | Q41617084:John McCarthy:British choir director (1919-2009) | Q129084725:John McCarthy:American missionary to China and explorer | Q59503548:John McCarthy:American mathematician	auto
marvin_minsky	Marvin Minsky	1927	PERSON	Q204815	Marvin Minsky	American cognitive scientist (1927-2016)	Q22992414:Marvin Minsky: Health and the human mind:TED2003 | Q84037305:Marvin Minsky, Pioneer in Artificial Intelligence, Dies at 88:obituary in the New York Times	auto
dennis_ritchie	Dennis Ritchie	1941	PERSON	Q137468013	Dennis Ritchie	private educational institution in Morocco	Q17778290:Dennis Ritchie, C programming language creator, dies aged 70:Wikinews article | Q123675292:Dennis Ritchie, Trailblazer in Digital Era, Dies at 70:The New York Times article (October 14, 2011) | Q137470399:Dennis Ritchie 2:private educational institution in Morocco | Q89677797:Dennis Ritchie, 1941--2011:	auto
tim_berners_lee	Tim Berners-Lee	1955	PERSON	Q80	Tim Berners-Lee	English computer scientist (born 1955)	Q120373140:Tim Berners-Lee:2015 edition of a biography by Claudia Martin | Q120373262:Tim Berners-Lee:2015 biography by Jason Porterfield | Q19761597:Tim Berners-Lee:Wikinews article | Q55693401:Tim Berners-Lee:article in Physics Today	auto
geoffrey_hinton	Geoffrey Hinton	1947	PERSON	Q92894	Geoffrey Hinton	British-Canadian computer scientist and psychologist	Q75295861:Geoffrey Hinton:Peerage person ID=45209 | Q113441348:Geoffrey Henry Herbert:particle physicist in Germany | Q112919258:Geoffrey Gilles:particle physicist | Q7041317:Geoffrey:male given name	review
yann_lecun	Yann LeCun	1960	PERSON	Q3571662	Yann Le Cun	French computer scientist (born 1960)	Q110650678:Yann LeCun: Dark Matter of Intelligence and Self-Supervised Learning:episode of Lex Fridman Podcast published on 22 January 2022 (E258) | Q2689095:Yannick Mellier:French astrophysicist | Q42746457:Yannick Béjot:researcher | Q13564380:Yann:male given name	review
robert_noyce	Robert Noyce	1927	PERSON	Q241735	Robert Noyce	American businessman and engineer (1927–1990)	Q56268604:Robert Noyce and Fairchild Semiconductor, 1957–1968:article	auto
gordon_moore	Gordon Moore	1929	PERSON	Q243969	Gordon Moore	American businessman, co-founder of Intel Corporation (1929–2023)	Q58371766:Gordon Moore:American petrologist | Q22002536:Gordon Moore:American painter (born 1947) | Q107436479:Gordon Moore:American artist | Q96379728:Gordon Moore:Associate Justice of the Minnesota Supreme Court	auto
steve_jobs	Steve Jobs	1955	PERSON	Q19837	Steve Jobs	American entrepreneur; co-founder of Apple Inc. (1955–2011)	Q109983309:Steve Jobs:person identified in the Museu da Pessoa collection | Q625645:Steve Jobs:2011 authorized biography by Walter Isaacson | Q28941414:Steve Jobs:2015 paperback edition published by Simon & Schuster | Q16460065:Steve Jobs:1st Simon & Schuster hardcover edition of Steve Jobs	auto
steve_wozniak	Steve Wozniak	1950	PERSON	Q483382	Steve Wozniak	American computer pioneer, inventor, computer engineer and programmer; co-founder of Apple Inc.		auto
bill_gates	Bill Gates	1955	PERSON	Q5284	Bill Gates	American businessman, investor, and philanthropist (born 1955)	Q123411797:Bill Gates:English footballer (1944–2023) | Q1181671:Bill Gates:Wikimedia disambiguation page | Q100794547:Bill Gates:college basketball player (1959–1959) Boston University | Q684014:Bill Gates Sr.:American attorney and philanthropist (1925–2020)	auto
larry_ellison	Larry Ellison	1944	PERSON	Q92759	Larry Ellison	American internet entrepreneur and businessman (born 1944)		auto
morris_chang	Morris Chang	1931	PERSON	Q4745214	Morris Chang	American businessperson (born 1931)	Q98877565:Morris Chang:	auto
linus_torvalds	Linus Torvalds	1969	PERSON	Q34253	Linus Torvalds	Finnish software engineer (born 1969)		auto
jeff_bezos	Jeff Bezos	1964	PERSON	Q312556	Jeff Bezos	American business magnate (born 1964)	Q87977766:Jeff Bezos phone hacking incident:2017-2020 incident | Q22992375:Jeff Bezos: The electricity metaphor for the web's future:talk given at the TED2003 conference | Q23663709:Jeff Bezos: What matters more than your talents:graduation address at Princeton University | Q63871424:Jeff Bezos presenteert ontwerp maanlander Blue Moon:Wikinews article	auto
jensen_huang	Jensen Huang	1963	PERSON	Q305177	Jensen Huang	American entrepreneur and businessman; founder and CEO of Nvidia	Q94019415:Jensen Huang Professorship in Global Leadership:endowed academic position at Stanford University	auto
marc_benioff	Marc Benioff	1964	PERSON	Q1521908	Marc Benioff	American internet entrepreneur and philanthropist		auto
larry_page	Larry Page	1973	PERSON	Q4934	Larry Page	American computer scientist and Internet entrepreneur (born 1973)	Q6490923:Larry Page:British singer and music producer | Q17204940:Larry Page: | Q22990105:Larry Page: Where’s Google going next?:TED2014 | Q63894116:Larry Page:musical character in the musical Sunny Afternoon by Ray Davies	auto
sergey_brin	Sergey Brin	1973	PERSON	Q92764	Sergey Brin	American billionaire businessman (born 1973)	Q39166646:Sergey Brin:Wikimedia disambiguation page | Q22989035:Sergey Brin: Why Google Glass?:TED2013 | Q22992624:Sergey Brin + Larry Page: The genesis of Google:TED2004 | Q17944398:Sergey Brin revela que podría sufrir una predisposición a sufrir del mal de Parkinson:Wikinews article	auto
reed_hastings	Reed Hastings	1960	PERSON	Q7306657	Reed Hastings	American entrepreneur and education philanthropist		auto
elon_musk	Elon Musk	1971	PERSON	Q317521	Elon Musk	businessman and entrepreneur (born 1971)	Q122380405:Elon Musk:2023 authorized biography by Walter Isaacson | Q123134390:Elon Musk:2023 single by Shallipopi | Q121968158:Elon Musk: Tesla, SpaceX a hledání fantastické budoucnosti:book edition published in 2015 | Q46845259:Elon Musk's Tesla Roadster:sports car launched into space in 2018	auto
mark_zuckerberg	Mark Zuckerberg	1984	PERSON	Q36215	Mark Zuckerberg	American Internet entrepreneur	Q115785690:Mark Zuckerberg:Australian mathematician | Q62397788:Mark Zuckerberg:painting by Sami Lukkarinen | Q127766899:Mark Zuckerberg: | Q17712964:Mark Zuckerberg named 2010 Time Person of the Year:Wikinews article	review
chad_hurley	Chad Hurley	1977	PERSON	Q370299	Chad Hurley	American businessman, co-founder of YouTube		auto
jack_ma	Jack Ma	1964	PERSON	Q1137062	Jack Ma	Chinese businessman	Q100739445:Jack Mardekian:researcher | Q6113929:Jack Matthews:writer, distinguished professor at Ohio University | Q116140851:Jack Mastandrea:American athletics competitor | Q104762041:Jack Mahoney:American lyricist (1882-1945)	auto
pony_ma	Pony Ma	1971	PERSON	Q21085437	Pony Malta	cycling team	Q56420313:Pony Malta-Kelme:former Colombian cycling team | Q2880559:Pony Malta:softdrink | Q1739008:Ma Huateng:Chinese internet entrepreneur (1971-) | Q513712:Pony Canyon:Japanese publishing company	review
travis_kalanick	Travis Kalanick	1976	PERSON	Q7836291	Travis Kalanick	American entrepreneur		auto
patrick_collison	Patrick Collison	1988	PERSON	Q7146257	Patrick Collison	Irish entrepreneur	Q73265505:Patrick J Collison:researcher	auto
satoshi_nakamoto	Satoshi Nakamoto	1975	PERSON	Q13382352	Satoshi Nakamoto	pseudonym for the person or group who designed and developed Bitcoin	Q108887850:Bust of Satoshi Nakamoto:2021 sculpture in Hungary | Q130738824:Statue of Satoshi Nakamoto:sculpture in Lugano, Switzerland	auto
vitalik_buterin	Vitalik Buterin	1994	PERSON	Q16197959	Vitalik Buterin	Russian-Canadian computer scientist		auto
tim_cook	Tim Cook	1960	PERSON	Q265852	Tim Cook	American business executive	Q108053263:Tim Cook:football player (born 1994) | Q1404825:Tim Cook:American ice hockey player | Q112552173:Tim Cook:anesthesiologist | Q7803348:Tim Cook:Canadian military historian and author (1971-2025)	review
satya_nadella	Satya Nadella	1967	PERSON	Q7426870	Satya Nadella	Indian-American business executive and CEO of Microsoft		auto
sundar_pichai	Sundar Pichai	1972	PERSON	Q3503829	Sundar Pichai	Indian-American business executive, CEO of Google LLC & Alphabet Inc.	Q134721156:Sundar Pichai: CEO of Google and Alphabet | Lex Fridman Podcast #471:	auto
lisa_su	Lisa Su	1969	PERSON	Q18207172	Lisa Su	American business executive and electrical engineer	Q114329027:Lisa Sundin:researcher | Q60057712:Lisa Susan Wieland:researcher | Q110617526:Lisa Sullivan:British judge | Q113280302:Lisa Suzuki:visual artist	auto
demis_hassabis	Demis Hassabis	1976	PERSON	Q3022141	Demis Hassabis	British artificial intelligence researcher (born 1976)	Q112843197:Demis Hassabis: DeepMind | Lex Fridman Podcast #299:	auto
sam_altman	Sam Altman	1985	PERSON	Q7407093	Sam Altman	American venture capitalist		auto
ilya_sutskever	Ilya Sutskever	1985	PERSON	Q21712134	Ilya Sutskever	Canadian-Israeli AI researcher		auto
arthur_rock	Arthur Rock	1926	PERSON	Q4800159	Arthur Rock	American businessman (born 1926)	Q22455418:Arthur Rock:submerged rock in British Columbia, Canada | Q105431966:Arthur Rock: | Q47512267:Arthur Rock:painting by Kinuko Yamabe Craft | Q22455429:Arthur Rock:	auto
don_valentine	Don Valentine	1932	PERSON	Q5293639	Don Valentine	American venture capitalist (1932–2019)	Q81595032:Don Valentine, Founder of Sequoia Capital, Is Dead at 87:obituary in the New York Times | Q75821182:Donald Valentine:(1910-1988)	auto
masayoshi_son	Masayoshi Son	1957	PERSON	Q717038	Masayoshi Son	Japanese businessman	Q96257854:Masayoshi Sone:researcher | Q114844213:Masayoshi Son Again Pulled SoftBank From the Brink. This Time He Had Help.:Wall Street Journal article (November 11, 2020)	auto
marc_andreessen	Marc Andreessen	1971	PERSON	Q62882	Marc Andreessen	American entrepreneur, investor, and software engineer	Q114712992:Marc Andreessen Joins Dialpad’s Board:Wall Street Journal article (November 1, 2016)	auto
peter_thiel	Peter Thiel	1967	PERSON	Q705525	Peter Thiel	German-American entrepreneur and venture capitalist (born 1967)	Q127536965:Peter Thiel: | Q127010255:Peter Thiel: | Q39141069:Peter Thiel: | Q49484832:Peter Thiel:German cross-country skier	auto
reid_hoffman	Reid Hoffman	1967	PERSON	Q211098	Reid Hoffman	American co-founder of LinkedIn, venture capitalist, and author		auto
paul_graham	Paul Graham	1964	PERSON	Q92650	Paul Graham	English-American programmer, venture capitalist, and essayist	Q38322005:Paul Graham:British neuroscientist | Q522568:Paul Graham:English photographer (born 1956) | Q3898066:Paul Graham:American basketball player (born 1967) | Q7150975:Paul Graham:American basketball player and coach	review
max_levchin	Max Levchin	1975	PERSON	Q93014	Max Levchin	American businessman		auto
roelof_botha	Roelof Botha	1973	PERSON	Q7357593	Roelof Botha	South African businessman	Q561494:Pik Botha:South African politician (1932-2018)	auto
postscript	PostScript	1984	TECHNOLOGY	Q218170	PostScript	programming language	Q62281:postscript:afterthought, thought of occurring after the letter has been written and signed | Q17218975:Postscript:2010 single by MoNoLith | Q3290261:Postscript:Spanish, Catalan, and Basque form of P.S. | Q134341448:Postscript:	review
illustrator	Adobe Illustrator	1987	TECHNOLOGY	Q215016	Adobe Illustrator	vector graphics editor developed and marketed by Adobe Systems	Q27866079:Adobe Illustrator File Format Specification:technical specification | Q2584726:Adobe Illustrator Artwork:file format family | Q47498538:Adobe Illustrator file format, version 9.0:version 9 of the Illustrator file format | Q27866121:Adobe Illustrator Artwork file format, version 7.0:file format	auto
premiere_pro	Adobe Premiere Pro	1991	TECHNOLOGY	Q360424	Adobe Premiere Pro	professional timeline-based video editing, special effects, and visual effects software developed by Adobe	Q65990344:Adobe Premiere Project:file format | Q138790558:Adobe Premiere Pro splash screen (2023):2023 splash screen artwork for Adobe Premiere Pro by Kaiwan Shaban | Q137535655:Adobe Premiere Pro pre začiatočníkov:Skillmea online course | Q137535688:Adobe Premiere Pro CC 2020:Skillmea online course	auto
pdf	PDF	1993	TECHNOLOGY	Q42332	PDF	family of file formats used to present documents	Q18045585:PDF:protein-coding gene in the species Homo sapiens | Q26085317:Portable Document Format, version 1.7:version of the Portable Document Format file format | Q207522:probability density function:function whose integral over a region describes the probability of an event occurring in that region | Q26085326:Portable Document Format, version 1.4:deprecated version of the Portable Document Format file format	auto
nano_banana	Nano Banana	2025	TECHNOLOGY	Q136327856	Nano Banana	artificial intelligence image generating and editing tool created by Google	Q138580447:Nano Banana 2:large language model | Q123688361:Gemini:family of language models by Google DeepMind | Q37562935:Nano:family name | Q61231:nanoparticle:particle with size less than 100 nm	review
